# mode: lj, integrator: euler, N: 864, P: 4, dt: 1e-14, steps: 100, seed: 42, L: 3.47786e-09, rcut: 7.65e-10, rescale_step: 10, production_start: 10, gr_discard: 500, gr_interval: 10, gr_start: 510, lattice: FCC, velocities: Box-Muller, timestamp: 2026-03-04T17:00:43Z
step,time,E_kin,E_pot,E_total,temperature
0,0,1.687164123192e-18,-9.03403363081345e-18,-7.34686950762145e-18,94.3999999999998
1,1e-14,1.68718160414212e-18,-9.03252062314843e-18,-7.34533901900631e-18,94.4009780919763
2,2e-14,1.68414601869777e-18,-9.02791436989628e-18,-7.34376835119851e-18,94.2311313876705
3,3e-14,1.67797142258245e-18,-9.02006965275896e-18,-7.34209823017651e-18,93.8856511434707
4,4e-14,1.66846943076906e-18,-9.00873630877058e-18,-7.34026687800151e-18,93.3539968634549
5,5e-14,1.65534983865388e-18,-8.99355868624928e-18,-7.3382088475954e-18,92.6199310552451
6,6e-14,1.63822340001873e-18,-8.97407744761329e-18,-7.33585404759456e-18,91.6616746622043
7,7e-14,1.61660908084993e-18,-8.94968869698935e-18,-7.33307961613942e-18,90.452312928223
8,8e-14,1.58995267041924e-18,-8.91970314977096e-18,-7.32975047935172e-18,88.9608367226382
9,9e-14,1.5576539681966e-18,-8.88339207261563e-18,-7.32573810441903e-18,87.1536636990386
10,1e-13,1.51912249232256e-18,-8.83988628194181e-18,-7.32076378961924e-18,84.9977552888792
11,1.1e-13,1.63944171084548e-18,-8.78633211527106e-18,-7.14689040442558e-18,91.7298414400917
12,1.2e-13,1.58375228022909e-18,-8.72308741033461e-18,-7.13933513010552e-18,88.6139132515281
13,1.3e-13,1.51999659230118e-18,-8.65028911158144e-18,-7.13029251928027e-18,85.0466628236275
14,1.4e-13,1.44880013243543e-18,-8.56886383580481e-18,-7.12006370336938e-18,81.0630872372698
15,1.5e-13,1.37165016552282e-18,-8.47927600915548e-18,-7.10762584363267e-18,76.7464017551413
16,1.6e-13,1.29115651469754e-18,-8.38569522461431e-18,-7.09453870991677e-18,72.2426308810131
17,1.7e-13,1.21098702215261e-18,-8.29180372968619e-18,-7.08081670753358e-18,67.7569972712114
18,1.8e-13,1.13540267898734e-18,-8.20079529921863e-18,-7.06539262023129e-18,63.5279113768874
19,1.9e-13,1.06857853802787e-18,-8.11911811504842e-18,-7.05053957702056e-18,59.7889752414746
20,2e-13,1.01374789439755e-18,-8.04834454707456e-18,-7.03459665267701e-18,56.7210977969796
21,2.1e-13,9.72658468358989e-19,-7.99168777913387e-18,-7.01902931077488e-18,54.4220672730839
22,2.2e-13,9.45506290930461e-19,-7.94866689835428e-18,-7.00316060742381e-18,52.9028519732684
23,2.3e-13,9.31263460846332e-19,-7.91792701598561e-18,-6.98666355513928e-18,52.1059388920454
24,2.4e-13,9.28173365431047e-19,-7.8986991778093e-18,-6.97052581237825e-18,51.9330422525347
25,2.5e-13,9.34156657619691e-19,-7.88891494659092e-18,-6.95475828897123e-18,52.2678186829032
26,2.6e-13,9.47150819271299e-19,-7.88626958347648e-18,-6.93911876420518e-18,52.9948664212056
27,2.7e-13,9.65281509924262e-19,-7.88995572059246e-18,-6.92467421066819e-18,54.0093125999222
28,2.8e-13,9.86887689477349e-19,-7.89783391877628e-18,-6.91094622929893e-18,55.218218907124
29,2.9e-13,1.0105789815969e-18,-7.90783477496779e-18,-6.89725579337088e-18,56.5437911767942
30,3e-13,1.0351427683203e-18,-7.91920576303246e-18,-6.88406299471216e-18,57.9181811574807
31,3.1e-13,1.0595270579516e-18,-7.93048755088945e-18,-6.87096049293786e-18,59.2825279388949
32,3.2e-13,1.08279879161368e-18,-7.94118714827663e-18,-6.85838835666296e-18,60.5846251252338
33,3.3e-13,1.1041540860889e-18,-7.95028483898825e-18,-6.84613075289935e-18,61.7794939413435
34,3.4e-13,1.12295522249709e-18,-7.95770296865343e-18,-6.83474774615634e-18,62.8314528186905
35,3.5e-13,1.13882117551473e-18,-7.96227605998394e-18,-6.82345488446921e-18,63.7191826751263
36,3.6e-13,1.15175826353386e-18,-7.96214537641119e-18,-6.81038711287733e-18,64.4430370365475
37,3.7e-13,1.16207789007736e-18,-7.96078062878363e-18,-6.79870273870627e-18,65.0204395146561
38,3.8e-13,1.17032907316087e-18,-7.95709322320277e-18,-6.7867641500419e-18,65.4821086980956
39,3.9e-13,1.1771552004687e-18,-7.9516477547863e-18,-6.77449255431759e-18,65.8640433356345
40,4e-13,1.1831612525684e-18,-7.94495324417138e-18,-6.76179199160298e-18,66.2000932257532
41,4.1e-13,1.18882289936576e-18,-7.93869456011413e-18,-6.74987166074837e-18,66.5168729926558
42,4.2e-13,1.19455579780358e-18,-7.93255022436452e-18,-6.73799442656093e-18,66.8376394226026
43,4.3e-13,1.20076563244732e-18,-7.92617733737148e-18,-6.72541170492416e-18,67.1850913286209
44,4.4e-13,1.20771595901809e-18,-7.92009522284196e-18,-6.71237926382387e-18,67.5739751480797
45,4.5e-13,1.21555505298546e-18,-7.91482648151011e-18,-6.69927142852465e-18,68.012587171858
46,4.6e-13,1.22427043874112e-18,-7.9109086750322e-18,-6.68663823629108e-18,68.5002293662509
47,4.7e-13,1.23373388533112e-18,-7.90759574701194e-18,-6.67386186168082e-18,69.029726968657
48,4.8e-13,1.24373304015624e-18,-7.90435989312139e-18,-6.66062685296515e-18,69.5891984525017
49,4.9e-13,1.25394368711867e-18,-7.90167047266225e-18,-6.64772678554358e-18,70.1605033184621
50,5e-13,1.2639373644163e-18,-7.89784883863989e-18,-6.63391147422359e-18,70.7196683243606
51,5.1e-13,1.27318981276883e-18,-7.89318878452673e-18,-6.6199989717579e-18,71.2373601792742
52,5.2e-13,1.28125096896924e-18,-7.88794488004455e-18,-6.60669391107532e-18,71.6883970018675
53,5.3e-13,1.28783162567918e-18,-7.88005002469514e-18,-6.59221839901596e-18,72.0565970986333
54,5.4e-13,1.29293592647492e-18,-7.87054735301935e-18,-6.57761142654443e-18,72.3421923104409
55,5.5e-13,1.2969651882607e-18,-7.85924648394437e-18,-6.56228129568368e-18,72.5676370714746
56,5.6e-13,1.30067583535735e-18,-7.84746996240941e-18,-6.54679412705206e-18,72.7752547425177
57,5.7e-13,1.30497356497234e-18,-7.83667573686708e-18,-6.53170217189473e-18,73.0157207825894
58,5.8e-13,1.31069033658224e-18,-7.82623633866447e-18,-6.51554600208224e-18,73.3355848862385
59,5.9e-13,1.3182765782884e-18,-7.81761194986849e-18,-6.49933537158009e-18,73.7600493513238
60,6e-13,1.32778431178715e-18,-7.81054010785589e-18,-6.48275579606874e-18,74.2920248894145
61,6.1e-13,1.33892070121942e-18,-7.80590341538039e-18,-6.46698271416098e-18,74.9151267844553
62,6.2e-13,1.35135203596279e-18,-7.80220066514551e-18,-6.45084862918272e-18,75.6106833006488
63,6.3e-13,1.3648593678606e-18,-7.79937891552752e-18,-6.43451954766692e-18,76.3664438775993
64,6.4e-13,1.37945177925366e-18,-7.79762438484243e-18,-6.41817260558877e-18,77.1829166893246
65,6.5e-13,1.39528799934811e-18,-7.79717611129389e-18,-6.40188811194579e-18,78.0689829328904
66,6.6e-13,1.41264527298994e-18,-7.79815331527868e-18,-6.38550804228873e-18,79.0401549779012
67,6.7e-13,1.43172922696826e-18,-7.80000421066794e-18,-6.36827498369967e-18,80.1079380292295
68,6.8e-13,1.4525759789199e-18,-7.80439357214554e-18,-6.35181759322564e-18,81.2743529364596
69,6.9e-13,1.47483270036975e-18,-7.80978914995063e-18,-6.33495644958088e-18,82.5196582840453
70,7e-13,1.49776604587555e-18,-7.81629028902643e-18,-6.31852424315088e-18,83.8028220177852
71,7.1e-13,1.52034332461699e-18,-7.82066890990185e-18,-6.30032558528486e-18,85.0660631476164
72,7.2e-13,1.54157210956917e-18,-7.82460142641139e-18,-6.28302931684222e-18,86.2538535184159
73,7.3e-13,1.5607296285253e-18,-7.82654679440761e-18,-6.26581716588232e-18,87.3257526683557
74,7.4e-13,1.57748166573636e-18,-7.82648249473091e-18,-6.24900082899455e-18,88.2630605988568
75,7.5e-13,1.59172649908517e-18,-7.82304721142945e-18,-6.23132071234428e-18,89.0600857664995
76,7.6e-13,1.60346889928126e-18,-7.81859582337098e-18,-6.21512692408973e-18,89.7170951014378
77,7.7e-13,1.61292363043529e-18,-7.81114050495971e-18,-6.19821687452442e-18,90.24610505884
78,7.8e-13,1.62060494501049e-18,-7.80182187002007e-18,-6.18121692500958e-18,90.6758890294281
79,7.9e-13,1.6272511439298e-18,-7.7911243402007e-18,-6.1638731962709e-18,91.0477563358498
80,8e-13,1.63363631642597e-18,-7.77865870758987e-18,-6.1450223911639e-18,91.4050187238731
81,8.1e-13,1.64041604691602e-18,-7.76677168620796e-18,-6.12635563929193e-18,91.7843573723562
82,8.2e-13,1.64811642135515e-18,-7.75614276817835e-18,-6.10802634682321e-18,92.2152077781116
83,8.3e-13,1.65700215188696e-18,-7.74511725002528e-18,-6.08811509813832e-18,92.7123810825178
84,8.4e-13,1.6669938441516e-18,-7.73569439342601e-18,-6.06870054927441e-18,93.2714350220942
85,8.5e-13,1.67753293567983e-18,-7.72611739496859e-18,-6.04858445928876e-18,93.8611169780988
86,8.6e-13,1.6878577638178e-18,-7.71561579603473e-18,-6.02775803221694e-18,94.4388104951825
87,8.7e-13,1.69727444224166e-18,-7.70512644369229e-18,-6.00785200145063e-18,94.9656913308959
88,8.8e-13,1.70539381133288e-18,-7.69259917043622e-18,-5.98720535910334e-18,95.4199852740131
89,8.9e-13,1.71234079542576e-18,-7.67774059144912e-18,-5.96539979602336e-18,95.808682075559
90,9e-13,1.71881040913021e-18,-7.66128033959926e-18,-5.94246993046905e-18,96.1706691077066
91,9.1e-13,1.72597122474046e-18,-7.64565950081045e-18,-5.91968827606998e-18,96.5713301840747
92,9.2e-13,1.73513048582621e-18,-7.63161574331955e-18,-5.89648525749335e-18,97.0838080364715
93,9.3e-13,1.74728470168168e-18,-7.62119839703676e-18,-5.87391369535508e-18,97.7638592306531
94,9.4e-13,1.7629762505585e-18,-7.61331460374013e-18,-5.85033835318162e-18,98.6418308480019
95,9.5e-13,1.782299584617e-18,-7.60956602449945e-18,-5.82726643988246e-18,99.7230076642033
96,9.6e-13,1.80473148230627e-18,-7.60712945841391e-18,-5.80239797610764e-18,100.978114451242
97,9.7e-13,1.82914408255777e-18,-7.60820627612566e-18,-5.77906219356789e-18,102.344045265004
98,9.8e-13,1.85402594779452e-18,-7.60988159373072e-18,-5.75585564593619e-18,103.736232335641
99,9.9e-13,1.8779770592092e-18,-7.6096618236967e-18,-5.7316847644875e-18,105.076341982631
100,1e-12,1.89997669878666e-18,-7.60752504408179e-18,-5.70754834529514e-18,106.307263116838
