# mode: lj, integrator: euler, N: 864, P: 4, dt: 1e-14, steps: 100, n_steps: 100, n_frames: 101, step_indexing: 0..steps (includes initial frame), total_steps_executed: 150, seed: 42, L: 3.47786e-09, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 50, production_steps: 100, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: true, production_nve: true, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, startup_temperature_before_final_rescale: 95.9438964430546, startup_temperature_after_final_rescale: 94.4, lattice: FCC, velocities: Box-Muller, timestamp: 2026-03-08T18:23:53Z
step,time,E_kin,E_pot,E_total,temperature
0,0,1.687164123192e-18,-7.45788627945411e-18,-5.77072215626211e-18,94.4
1,1e-14,1.71215309673989e-18,-7.45868004418276e-18,-5.74652694744287e-18,95.7981799817184
2,2e-14,1.73483048401096e-18,-7.45692677351975e-18,-5.72209628950879e-18,97.0670223717161
3,3e-14,1.75546219602372e-18,-7.45364080407685e-18,-5.69817860805314e-18,98.2214053906719
4,4e-14,1.77471374295437e-18,-7.44887878027046e-18,-5.6741650373161e-18,99.2985655823047
5,5e-14,1.79343662740945e-18,-7.4440707852582e-18,-5.65063415784875e-18,100.346146115973
6,6e-14,1.81217672543825e-18,-7.43791547906309e-18,-5.62573875362483e-18,101.394689781406
7,7e-14,1.83095887647808e-18,-7.43214116298388e-18,-5.6011822865058e-18,102.445586391752
8,8e-14,1.84931182570417e-18,-7.42460187494299e-18,-5.57529004923883e-18,103.47246835488
9,9e-14,1.86679639469913e-18,-7.4160878277875e-18,-5.54929143308837e-18,104.450762813869
10,1e-13,1.88342602304455e-18,-7.40565125513331e-18,-5.52222523208876e-18,105.38122173854
11,1.1e-13,1.9001125279539e-18,-7.39527157136356e-18,-5.49515904340966e-18,106.314863013737
12,1.2e-13,1.91869966196565e-18,-7.38648608094844e-18,-5.46778641898279e-18,107.354848055256
13,1.3e-13,1.94138198000575e-18,-7.38135797982581e-18,-5.43997599982006e-18,108.623966331038
14,1.4e-13,1.96980591296173e-18,-7.38169145701858e-18,-5.41188554405685e-18,110.214338740076
15,1.5e-13,2.00404051303803e-18,-7.38661885564089e-18,-5.38257834260286e-18,112.129828882842
16,1.6e-13,2.04226752370855e-18,-7.39586160171711e-18,-5.35359407800857e-18,114.268701893294
17,1.7e-13,2.08154865645363e-18,-7.40562140195036e-18,-5.32407274549673e-18,116.466555012717
18,1.8e-13,2.11897157629059e-18,-7.41327654936582e-18,-5.29430497307523e-18,118.560437631513
19,1.9e-13,2.15282773752824e-18,-7.41739871701808e-18,-5.26457097948984e-18,120.454753410815
20,2e-13,2.18274034172027e-18,-7.41832247784163e-18,-5.23558213612136e-18,122.128419770188
21,2.1e-13,2.20929513838387e-18,-7.4160200611783e-18,-5.20672492279443e-18,123.614210494745
22,2.2e-13,2.23328367293023e-18,-7.41042300303346e-18,-5.17713933010323e-18,124.956414036207
23,2.3e-13,2.25503106230287e-18,-7.40221925114959e-18,-5.14718818884672e-18,126.173221297905
24,2.4e-13,2.27454102380865e-18,-7.3917758479965e-18,-5.11723482418785e-18,127.264840270137
25,2.5e-13,2.29168448773267e-18,-7.37879117003439e-18,-5.08710668230172e-18,128.224049260052
26,2.6e-13,2.30650093683153e-18,-7.36206518323861e-18,-5.05556424640709e-18,129.053057402002
27,2.7e-13,2.31912161811757e-18,-7.34257382216436e-18,-5.02345220404679e-18,129.759208212718
28,2.8e-13,2.32956888194991e-18,-7.32090156555611e-18,-4.9913326836062e-18,130.34375223675
29,2.9e-13,2.33779927094393e-18,-7.29505396059685e-18,-4.95725468965292e-18,130.804257951846
30,3e-13,2.34401751443518e-18,-7.26555072120504e-18,-4.92153320676986e-18,131.152180348669
31,3.1e-13,2.34910361560062e-18,-7.2340687912292e-18,-4.88496517562858e-18,131.436757256995
32,3.2e-13,2.3546012949692e-18,-7.20240960640131e-18,-4.84780831143212e-18,131.744362738442
33,3.3e-13,2.36207572861326e-18,-7.17064125553447e-18,-4.80856552692121e-18,132.162571332556
34,3.4e-13,2.37279272486301e-18,-7.14255595021491e-18,-4.7697632253519e-18,132.762207391709
35,3.5e-13,2.38800015673508e-18,-7.11515945720774e-18,-4.72715930047267e-18,133.613091753811
36,3.6e-13,2.40920779888009e-18,-7.09174917721659e-18,-4.6825413783365e-18,134.799699144858
37,3.7e-13,2.43823751399025e-18,-7.07648695463355e-18,-4.6382494406433e-18,136.423966202656
38,3.8e-13,2.47646487970353e-18,-7.06917910090405e-18,-4.59271422120053e-18,138.562859078416
39,3.9e-13,2.5233835895676e-18,-7.06926175799268e-18,-4.54587816842507e-18,141.188048975644
40,4e-13,2.57572203839599e-18,-7.07368803287902e-18,-4.49796599448303e-18,144.116483442382
41,4.1e-13,2.62896324887717e-18,-7.07975859716136e-18,-4.45079534828419e-18,147.095429118346
42,4.2e-13,2.67983109245354e-18,-7.08333997122684e-18,-4.4035088787733e-18,149.941580460472
43,4.3e-13,2.72730040960177e-18,-7.08397349803991e-18,-4.35667308843815e-18,152.597577868901
44,4.4e-13,2.77163975874588e-18,-7.08195547363398e-18,-4.31031571488811e-18,155.078447691621
45,4.5e-13,2.81235035311969e-18,-7.07609249102605e-18,-4.26374213790636e-18,157.356281872695
46,4.6e-13,2.84787817249882e-18,-7.0641842431125e-18,-4.21630607061368e-18,159.344130063211
47,4.7e-13,2.87744058046816e-18,-7.04434332633855e-18,-4.1669027458704e-18,160.998202286502
48,4.8e-13,2.90196874318121e-18,-7.01880529846674e-18,-4.11683655528552e-18,162.370599036933
49,4.9e-13,2.92205747342626e-18,-6.98851663412745e-18,-4.0664591607012e-18,163.494601206647
50,5e-13,2.9358815345529e-18,-6.94985562860465e-18,-4.01397409405175e-18,164.268083378545
51,5.1e-13,2.94169736350339e-18,-6.90061500211266e-18,-3.95891763860927e-18,164.593489926361
52,5.2e-13,2.94255411116674e-18,-6.84525949782026e-18,-3.90270538665353e-18,164.641426566495
53,5.3e-13,2.94783584524672e-18,-6.79134273243813e-18,-3.84350688719141e-18,164.936949503651
54,5.4e-13,2.97031899651435e-18,-6.75165213129779e-18,-3.78133313478344e-18,166.194924024617
55,5.5e-13,3.01907752407372e-18,-6.73440766198682e-18,-3.71533013791309e-18,168.92305517578
56,5.6e-13,3.09156140648948e-18,-6.73742346188197e-18,-3.64586205539248e-18,172.978664470685
57,5.7e-13,3.17331576155276e-18,-6.74866612500583e-18,-3.57535036345307e-18,177.552974113645
58,5.8e-13,3.24952434375725e-18,-6.7549077978078e-18,-3.50538345405056e-18,181.816987354096
59,5.9e-13,3.3153020964026e-18,-6.75355260053557e-18,-3.43825050413297e-18,185.497376098952
60,6e-13,3.37359001170017e-18,-6.74538177462875e-18,-3.37179176292858e-18,188.758694383554
61,6.1e-13,3.42712185871462e-18,-6.73296548357966e-18,-3.30584362486504e-18,191.753901719165
62,6.2e-13,3.47433366675525e-18,-6.71354840701271e-18,-3.23921474025746e-18,194.395491009603
63,6.3e-13,3.51385187137404e-18,-6.68699930987849e-18,-3.17314743850445e-18,196.606608745414
64,6.4e-13,3.55037479191127e-18,-6.65634404240213e-18,-3.10596925049087e-18,198.650134713825
65,6.5e-13,3.59270892050573e-18,-6.63095961226747e-18,-3.03825069176174e-18,201.018808682399
66,6.6e-13,3.64633458495017e-18,-6.61296611851761e-18,-2.96663153356744e-18,204.019265279342
67,6.7e-13,3.70752500425789e-18,-6.59939694501912e-18,-2.89187194076123e-18,207.442984112172
68,6.8e-13,3.76655492660445e-18,-6.58372768239741e-18,-2.81717275579296e-18,210.745819084132
69,6.9e-13,3.81794941443467e-18,-6.55909146167748e-18,-2.74114204724281e-18,213.621437160929
70,7e-13,3.8634844781439e-18,-6.52885810510156e-18,-2.66537362695766e-18,216.169209458279
71,7.1e-13,3.9083389809914e-18,-6.49854356852166e-18,-2.59020458753025e-18,218.6789030978
72,7.2e-13,3.95739734382555e-18,-6.4692399322204e-18,-2.51184258839485e-18,221.423810595466
73,7.3e-13,4.01313778562101e-18,-6.44530932905002e-18,-2.43217154342901e-18,224.542592955262
74,7.4e-13,4.07452229272141e-18,-6.42409888931252e-18,-2.3495765965911e-18,227.977171364454
75,7.5e-13,4.13750630612742e-18,-6.40104513662719e-18,-2.26353883049976e-18,231.501245154192
76,7.6e-13,4.19741744840231e-18,-6.37322533812505e-18,-2.17580788972273e-18,234.853386035454
77,7.7e-13,4.2530989393732e-18,-6.33784947469741e-18,-2.0847505353242e-18,237.968869985946
78,7.8e-13,4.30954741680767e-18,-6.30103568187093e-18,-1.99148826506326e-18,241.127268268938
79,7.9e-13,4.37207061382163e-18,-6.26479071988429e-18,-1.89272010606266e-18,244.625558516451
80,8e-13,4.44092601859188e-18,-6.23056897480704e-18,-1.78964295621516e-18,248.478147675362
81,8.1e-13,4.51611306045226e-18,-6.20105515472913e-18,-1.68494209427686e-18,252.685003815825
82,8.2e-13,4.59773811013312e-18,-6.17545869346104e-18,-1.57772058332792e-18,257.252078579894
83,8.3e-13,4.68303665738583e-18,-6.14956024787181e-18,-1.46652359048597e-18,262.024692429353
84,8.4e-13,4.76618380282159e-18,-6.12030575199198e-18,-1.35412194917039e-18,266.676931308334
85,8.5e-13,4.840122374265e-18,-6.07391973753541e-18,-1.23379736327041e-18,270.813933185219
86,8.6e-13,4.90249551964439e-18,-6.00904601053296e-18,-1.10655049088857e-18,274.303827762087
87,8.7e-13,4.97126581345189e-18,-5.93875836246574e-18,-9.67492549013843e-19,278.151654802853
88,8.8e-13,5.08391061262273e-18,-5.89794720215228e-18,-8.14036589529546e-19,284.454342784155
89,8.9e-13,5.23493219788789e-18,-5.88387994264421e-18,-6.48947744756324e-19,292.904283992043
90,9e-13,5.37931408261159e-18,-5.86710210711424e-18,-4.87788024502649e-19,300.98272148995
91,9.1e-13,5.49920827339378e-18,-5.83691284215824e-18,-3.37704568764462e-19,307.691026541166
92,9.2e-13,5.60874343834953e-18,-5.7991659496644e-18,-1.90422511314866e-19,313.819724650429
93,9.3e-13,5.71824973063214e-18,-5.76012659591392e-18,-4.18768652817868e-20,319.946807279427
94,9.4e-13,5.82395727344036e-18,-5.71020485691845e-18,1.13752416521903e-19,325.861342743953
95,9.5e-13,5.9204561655762e-18,-5.63552965498461e-18,2.84926510591589e-19,331.260636915992
96,9.6e-13,6.00578991146863e-18,-5.52319282143391e-18,4.8259709003472e-19,336.035220195422
97,9.7e-13,6.13936575448804e-18,-5.4210466572549e-18,7.18319097233137e-19,343.509039373828
98,9.8e-13,6.48254212789332e-18,-5.44980989537892e-18,1.0327322325144e-18,362.710401709679
99,9.9e-13,6.86618425843547e-18,-5.50589558744214e-18,1.36028867099333e-18,384.175899123566
100,1e-12,7.07845459472154e-18,-5.48646086295571e-18,1.59199373176582e-18,396.052822933143
