# mode: lj, integrator: verlet, N: 864, P: 4, dt: 1e-14, steps: 100, n_steps: 100, n_frames: 101, step_indexing: 0..steps (includes initial frame), total_steps_executed: 150, seed: 42, L: 3.47786e-09, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 50, production_steps: 100, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: true, production_nve: true, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, startup_temperature_before_final_rescale: 94.3304820914355, startup_temperature_after_final_rescale: 94.4, lattice: FCC, velocities: Box-Muller, timestamp: 2026-03-07T20:15:57Z
step,time,E_kin,E_pot,E_total,temperature
0,0,1.687164123192e-18,-7.47194927673327e-18,-5.78478515354127e-18,94.4
1,1e-14,1.68447578135403e-18,-7.46869101577964e-18,-5.78421523442562e-18,94.2495822273505
2,2e-14,1.68047549629074e-18,-7.46552676001374e-18,-5.78505126372299e-18,94.0257587683384
3,3e-14,1.675573444974e-18,-7.46109573619852e-18,-5.78552229122452e-18,93.7514797945627
4,4e-14,1.67031939809282e-18,-7.45631122530418e-18,-5.78599182721136e-18,93.4575060081561
5,5e-14,1.66525309392627e-18,-7.4517277580709e-18,-5.78647466414463e-18,93.1740367790827
6,6e-14,1.66078214268927e-18,-7.44785276849725e-18,-5.78707062580798e-18,92.923878664071
7,7e-14,1.65716146413624e-18,-7.44493273747192e-18,-5.78777127333568e-18,92.7212949019415
8,8e-14,1.65460549217326e-18,-7.4422058796724e-18,-5.78760038749914e-18,92.5782834722956
9,9e-14,1.6534278355732e-18,-7.44166241106347e-18,-5.78823457549027e-18,92.5123913747116
10,1e-13,1.65412668053239e-18,-7.44185951670639e-18,-5.787732836174e-18,92.5514930621173
11,1.1e-13,1.65729060008612e-18,-7.44519272334869e-18,-5.78790212326257e-18,92.728520300764
12,1.2e-13,1.6633765818926e-18,-7.4512199159443e-18,-5.7878433340517e-18,93.0690424080291
13,1.3e-13,1.67243894775827e-18,-7.46066468725162e-18,-5.78822573949335e-18,93.5760987909615
14,1.4e-13,1.68396198202923e-18,-7.47224354282029e-18,-5.78828156079107e-18,94.2208341905743
15,1.5e-13,1.69693087203493e-18,-7.48574394643747e-18,-5.78881307440254e-18,94.9464679328459
16,1.6e-13,1.71004835930324e-18,-7.49863361001209e-18,-5.78858525070885e-18,95.6804159709217
17,1.7e-13,1.72204246107605e-18,-7.51038292801882e-18,-5.78834046694277e-18,96.3515084815966
18,1.8e-13,1.73198593707429e-18,-7.52014405717191e-18,-5.78815812009762e-18,96.9078646305513
19,1.9e-13,1.73943052715559e-18,-7.52748093519145e-18,-5.78805040803586e-18,97.3244034213034
20,2e-13,1.74437066635725e-18,-7.53138155080627e-18,-5.78701088444902e-18,97.6008134837423
21,2.1e-13,1.74710459181087e-18,-7.53494587371041e-18,-5.78784128189954e-18,97.7537817452612
22,2.2e-13,1.7480215327952e-18,-7.53528197899024e-18,-5.78726044619504e-18,97.8050863147049
23,2.3e-13,1.74742061897183e-18,-7.53552700056766e-18,-5.78810638159583e-18,97.7714640581937
24,2.4e-13,1.74550899555746e-18,-7.5337051750981e-18,-5.78819617954064e-18,97.6645051394757
25,2.5e-13,1.74247299270064e-18,-7.53152236931636e-18,-5.78904937661572e-18,97.4946350801592
26,2.6e-13,1.73848649862319e-18,-7.52773313127077e-18,-5.78924663264759e-18,97.2715832526937
27,2.7e-13,1.73367522014907e-18,-7.52241513584087e-18,-5.7887399156918e-18,97.0023831898707
28,2.8e-13,1.72806293984258e-18,-7.5175744785657e-18,-5.78951153872311e-18,96.688365570808
29,2.9e-13,1.72154970390465e-18,-7.51082018075637e-18,-5.78927047685172e-18,96.3239377928052
30,3e-13,1.7139722306459e-18,-7.5023855342226e-18,-5.78841330357669e-18,95.8999639388139
31,3.1e-13,1.70529887922345e-18,-7.49400830958688e-18,-5.78870943036343e-18,95.414673644275
32,3.2e-13,1.69577237052573e-18,-7.48450826870901e-18,-5.78873589818329e-18,94.8816475985551
33,3.3e-13,1.68590120501956e-18,-7.4750097801735e-18,-5.78910857515394e-18,94.3293373573798
34,3.4e-13,1.67634845633446e-18,-7.46511942093019e-18,-5.78877096459574e-18,93.7948431351062
35,3.5e-13,1.6677929659191e-18,-7.45556989390051e-18,-5.78777692798141e-18,93.3161473851741
36,3.6e-13,1.66083877639135e-18,-7.44858603902784e-18,-5.78774726263649e-18,92.9270474260208
37,3.7e-13,1.65600850014213e-18,-7.44317686152284e-18,-5.78716836138071e-18,92.6567844020157
38,3.8e-13,1.65372773163601e-18,-7.44012414698609e-18,-5.78639641535008e-18,92.5291711224196
39,3.9e-13,1.65418403315184e-18,-7.44003268636633e-18,-5.78584865321449e-18,92.5547020488434
40,4e-13,1.65718453956044e-18,-7.44352897663573e-18,-5.78634443707529e-18,92.722586015245
41,4.1e-13,1.66213404395565e-18,-7.44737086246314e-18,-5.78523681850749e-18,92.9995200778443
42,4.2e-13,1.66814274561946e-18,-7.45348725606078e-18,-5.78534451044133e-18,93.3357182160496
43,4.3e-13,1.67431455296978e-18,-7.45888474195168e-18,-5.7845701889819e-18,93.6810424236129
44,4.4e-13,1.67999072999343e-18,-7.46513317145132e-18,-5.7851424414579e-18,93.9986351839534
45,4.5e-13,1.68470940965253e-18,-7.4695172552676e-18,-5.78480784561507e-18,94.2626541692415
46,4.6e-13,1.68806190930704e-18,-7.47309571905642e-18,-5.78503380974937e-18,94.4502328185475
47,4.7e-13,1.68958647214974e-18,-7.47469596346911e-18,-5.78510949131937e-18,94.5355349716531
48,4.8e-13,1.68887579098233e-18,-7.47510382499279e-18,-5.78622803401046e-18,94.4957710261769
49,4.9e-13,1.68583934152298e-18,-7.47178981302242e-18,-5.78595047149944e-18,94.3258759786103
50,5e-13,1.68079724462429e-18,-7.46700882633075e-18,-5.78621158170647e-18,94.0437611916173
51,5.1e-13,1.67439991753882e-18,-7.46152265511313e-18,-5.78712273757432e-18,93.685818731505
52,5.2e-13,1.66747541438195e-18,-7.45449092240378e-18,-5.78701550802184e-18,93.2983797805321
53,5.3e-13,1.66091692597013e-18,-7.44803402430377e-18,-5.78711709833365e-18,92.9314200416631
54,5.4e-13,1.65559488735119e-18,-7.44246525474838e-18,-5.78687036739719e-18,92.633641989889
55,5.5e-13,1.6522376336817e-18,-7.4395336357576e-18,-5.7872960020759e-18,92.4457973445201
56,5.6e-13,1.65132600997293e-18,-7.43917348238068e-18,-5.78784747240775e-18,92.3947902866263
57,5.7e-13,1.6530033651823e-18,-7.44086592642179e-18,-5.78786256123949e-18,92.4886414594839
58,5.8e-13,1.65702395432952e-18,-7.44471947643592e-18,-5.7876955221064e-18,92.7136009701087
59,5.9e-13,1.66283200787085e-18,-7.45096766852001e-18,-5.78813566064916e-18,93.0385724691852
60,6e-13,1.66972873205194e-18,-7.45769750402272e-18,-5.78796877197078e-18,93.4244571343138
61,6.1e-13,1.67705685909187e-18,-7.46449500676405e-18,-5.78743814767217e-18,93.8344795992658
62,6.2e-13,1.68429376182607e-18,-7.47118370749727e-18,-5.7868899456712e-18,94.2393978930569
63,6.3e-13,1.69109353519156e-18,-7.4785366055783e-18,-5.78744307038674e-18,94.6198579780471
64,6.4e-13,1.69723908788048e-18,-7.48387031635611e-18,-5.78663122847563e-18,94.9637131880172
65,6.5e-13,1.70253846586652e-18,-7.48877653342331e-18,-5.78623806755678e-18,95.2602233348401
66,6.6e-13,1.70677283533266e-18,-7.49312735702394e-18,-5.78635452169128e-18,95.497144255638
67,6.7e-13,1.70966668273835e-18,-7.49583472186753e-18,-5.78616803912919e-18,95.6590604505957
68,6.8e-13,1.71092556816935e-18,-7.49635053865603e-18,-5.78542497048668e-18,95.7294974537616
69,6.9e-13,1.71029490127496e-18,-7.49614154995617e-18,-5.78584664868121e-18,95.6942104570715
70,7e-13,1.7076202140512e-18,-7.49205691500307e-18,-5.78443670095187e-18,95.5445566857213
71,7.1e-13,1.7029018003409e-18,-7.48697009197181e-18,-5.7840682916309e-18,95.2805525807684
72,7.2e-13,1.6963457102432e-18,-7.4809445742481e-18,-5.78459886400489e-18,94.9137270320765
73,7.3e-13,1.68840858749515e-18,-7.4733641045854e-18,-5.78495551709025e-18,94.4696301139897
74,7.4e-13,1.67983089699383e-18,-7.46436962712612e-18,-5.7845387301323e-18,93.9896922275718
75,7.5e-13,1.67159821361495e-18,-7.45581419537415e-18,-5.7842159817592e-18,93.5290581373354
76,7.6e-13,1.66477640869556e-18,-7.45040119603428e-18,-5.78562478733872e-18,93.1473653455447
77,7.7e-13,1.66031096473095e-18,-7.44574710833835e-18,-5.78543614360739e-18,92.8975153727624
78,7.8e-13,1.65881830201206e-18,-7.4440386313608e-18,-5.78522032934874e-18,92.8139980914697
79,7.9e-13,1.66042409100495e-18,-7.44530837146015e-18,-5.7848842804552e-18,92.9038450001641
80,8e-13,1.66471348359381e-18,-7.45021118290105e-18,-5.78549769930724e-18,93.1438445679725
81,8.1e-13,1.67077911330439e-18,-7.45659990105185e-18,-5.78582078774745e-18,93.4832279372658
82,8.2e-13,1.67744895311606e-18,-7.46298108551396e-18,-5.78553213239791e-18,93.8564179959956
83,8.3e-13,1.68363886331393e-18,-7.46854861321558e-18,-5.78490974990165e-18,94.2027550918637
84,8.4e-13,1.68860564950761e-18,-7.47327652659136e-18,-5.78467087708375e-18,94.4806561035305
85,8.5e-13,1.69204171719358e-18,-7.47659996968837e-18,-5.78455825249479e-18,94.672910541079
86,8.6e-13,1.69401364943217e-18,-7.47808414923524e-18,-5.78407049980308e-18,94.7832438517295
87,8.7e-13,1.69483899609822e-18,-7.47892646892906e-18,-5.78408747283084e-18,94.8294235471153
88,8.8e-13,1.6949486953557e-18,-7.47855979565367e-18,-5.78361110029797e-18,94.8355614265095
89,8.9e-13,1.69472100344872e-18,-7.47876353857899e-18,-5.78404253513026e-18,94.822821636869
90,9e-13,1.69442537753834e-18,-7.47835490946037e-18,-5.78392953192203e-18,94.8062808122055
91,9.1e-13,1.69419059567169e-18,-7.47806436382233e-18,-5.78387376815064e-18,94.7931443260111
92,9.2e-13,1.69402683593984e-18,-7.47789746893803e-18,-5.78387063299818e-18,94.7839816615889
93,9.3e-13,1.6939285024503e-18,-7.477644038769e-18,-5.7837155363187e-18,94.778479718248
94,9.4e-13,1.69394479660581e-18,-7.47770834591809e-18,-5.78376354931227e-18,94.7793914068378
95,9.5e-13,1.69414354335647e-18,-7.47749908245356e-18,-5.78335553909709e-18,94.7905116606434
96,9.6e-13,1.69459173731495e-18,-7.47785073190453e-18,-5.78325899458959e-18,94.8155889540133
97,9.7e-13,1.69527786433769e-18,-7.47915579047344e-18,-5.78387792613575e-18,94.8539790489995
98,9.8e-13,1.69603745977495e-18,-7.47982699115721e-18,-5.78378953138226e-18,94.8964798397003
99,9.9e-13,1.69664840466377e-18,-7.4799966425522e-18,-5.78334823788842e-18,94.9306633531546
100,1e-12,1.6968868393243e-18,-7.48014957868897e-18,-5.78326273936467e-18,94.944004220024
